,Name,HP,Legendary
0,Bulbasaur,45,False
1,Ivysaur,60,False
2,Venusaur,80,False
3,VenusaurMega Venusaur,80,False
4,Charmander,39,False
5,Charmeleon,58,False
6,Charizard,78,False
7,CharizardMega Charizard X,78,False
8,CharizardMega Charizard Y,78,False
9,Squirtle,44,False
10,Wartortle,59,False
11,Blastoise,79,False
12,BlastoiseMega Blastoise,79,False
13,Caterpie,45,False
14,Metapod,50,False
15,Butterfree,60,False
16,Weedle,40,False
17,Kakuna,45,False
18,Beedrill,65,False
19,BeedrillMega Beedrill,65,False
20,Pidgey,40,False
21,Pidgeotto,63,False
22,Pidgeot,83,False
23,PidgeotMega Pidgeot,83,False
24,Rattata,30,False
25,Raticate,55,False
26,Spearow,40,False
27,Fearow,65,False
28,Ekans,35,False
29,Arbok,60,False
30,Pikachu,35,False
31,Raichu,60,False
32,Sandshrew,50,False
33,Sandslash,75,False
34,Nidoran (Female),55,False
35,Nidorina,70,False
36,Nidoqueen,90,False
37,Nidoran (Male),46,False
38,Nidorino,61,False
39,Nidoking,81,False
40,Clefairy,70,False
41,Clefable,95,False
42,Vulpix,38,False
43,Ninetales,73,False
44,Jigglypuff,115,False
45,Wigglytuff,140,False
46,Zubat,40,False
47,Golbat,75,False
48,Oddish,45,False
49,Gloom,60,False
50,Vileplume,75,False
51,Paras,35,False
52,Parasect,60,False
53,Venonat,60,False
54,Venomoth,70,False
55,Diglett,10,False
56,Dugtrio,35,False
57,Meowth,40,False
58,Persian,65,False
59,Psyduck,50,False
60,Golduck,80,False
61,Mankey,40,False
62,Primeape,65,False
63,Growlithe,55,False
64,Arcanine,90,False
65,Poliwag,40,False
66,Poliwhirl,65,False
67,Poliwrath,90,False
68,Abra,25,False
69,Kadabra,40,False
70,Alakazam,55,False
71,AlakazamMega Alakazam,55,False
72,Machop,70,False
73,Machoke,80,False
74,Machamp,90,False
75,Bellsprout,50,False
76,Weepinbell,65,False
77,Victreebel,80,False
78,Tentacool,40,False
79,Tentacruel,80,False
80,Geodude,40,False
81,Graveler,55,False
82,Golem,80,False
